Time,ccj,uec,spread,mvg_avg,mvg_std_dev,upper,lower,long_entry,long_exit,long_positions,short_entry,short_exit,short_positions,positions,percentage_change,strategy_returns,cumulative_returns
2015-01-13,13.2014,1.31,3.3152787739777843,2.9244001048577863,0.33641704449820026,8.773200314573359,-2.9244001048577863,False,True,0.0,False,False,0.0,0.0,0.03210818212760199,0.0,1.0
2015-01-14,12.7005,1.19,3.7199776649111183,3.1257528651733413,0.45780319634460337,9.377258595520024,-3.1257528651733413,False,True,0.0,False,False,0.0,0.0,0.018666042803634927,0.0,1.0
2015-01-15,12.5395,1.25,3.106178219444452,3.096465791848897,0.45230960836124745,9.289397375546692,-3.096465791848897,False,True,0.0,False,False,0.0,0.0,-0.02793448431870672,-0.0,1.0
2015-01-16,12.8347,1.2,3.7787110906666737,3.298825237315563,0.49255542215733816,9.896475711946689,-3.298825237315563,False,True,0.0,False,False,0.0,0.0,0.030722325551640374,0.0,1.0
2015-01-20,12.5664,1.17,3.736810813400007,3.5313913124800065,0.30267138126627124,10.594173937440019,-3.5313913124800065,False,True,0.0,False,False,0.0,0.0,-0.001958323913012076,-0.0,1.0
2015-01-21,12.8079,1.11,4.431110258866672,3.754557609457785,0.46909845256777344,11.263672828373355,-3.754557609457785,False,True,0.0,False,False,0.0,0.0,0.032773642378088566,0.0,1.0
2015-01-22,12.8258,1.2,3.769811090666673,3.7645242946088957,0.4687093061977623,11.293572883826688,-3.7645242946088957,False,True,0.0,False,False,0.0,0.0,-0.030221439889584752,-0.0,1.0
2015-01-23,12.7989,1.13,4.271177110377785,3.9975240727955623,0.32809552447895673,11.992572218386687,-3.9975240727955623,False,True,0.0,False,False,0.0,0.0,0.023508926955100914,0.0,1.0
2015-01-26,12.7542,1.37,2.4152793285111187,3.7248377203644507,0.7928456294243499,11.174513161093351,-3.7248377203644507,False,False,0.0,False,True,0.0,0.0,-0.08036582877938994,-0.0,1.0
2015-01-27,13.0494,1.44,2.1822133088000086,3.4139182194444517,1.0500724746803398,10.241754658333356,-3.4139182194444517,False,False,0.0,False,True,0.0,0.0,-0.00974495327114825,-0.0,1.0
2015-01-28,12.6111,1.27,3.026845070955563,3.1330651818622295,0.8847828323869269,9.39919554558669,-3.1330651818622295,False,False,0.0,False,True,0.0,0.0,0.03805443818563516,0.0,1.0
2015-01-29,12.4412,1.34,2.3286790512444515,2.844838773977785,0.8598811001655587,8.534516321933356,-2.844838773977785,False,False,0.0,False,True,0.0,0.0,-0.030955691138389932,-0.0,1.0
2015-01-30,12.5395,1.27,2.955245070955563,2.581652366093341,0.38373008083162075,7.7449570982800235,-2.581652366093341,False,True,0.0,False,False,0.0,0.0,0.028320961867487737,0.0,1.0
2015-02-02,13.5502,1.3,3.7395453482222294,2.8465055700355633,0.6227550023839353,8.539516710106689,-2.8465055700355633,False,True,0.0,False,False,0.0,0.0,0.033573269854961445,0.0,1.0
2015-02-03,13.6754,1.31,3.7892787739777845,3.1679186630711182,0.608748797912054,9.503755989213355,-3.1679186630711182,False,True,0.0,False,False,0.0,0.0,0.0021107901004552977,0.0,1.0
2015-02-04,13.3982,1.29,3.663011922466673,3.29515203337334,0.6376861140780193,9.88545610012002,-3.29515203337334,False,True,0.0,False,False,0.0,0.0,-0.005458208330224633,-0.0,1.0
